Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Change (+/-),Balance,SB Change,SmartBenefit Balance
1,12/4/2015 11:59,Transfer,Metrobus,7F,,StoredValue FF,$0.00 ,$26.25 ,,$160.00 
0,12/4/2015 11:27,Entry,Metrobus,16A,,StoredValue FF,($1.75),$26.25 ,,$160.00 
14,12/4/2015 1:02,Threshold Autoload,Metrobus,38B,,StoredValue FF,$20.00 ,$29.75 ,,$158.00 
15,12/4/2015 1:02,Entry,Metrobus,38B,,StoredValue FF,($1.75),$28.00 ,,$158.00 
13,12/3/2015 21:47,Entry,DC Circulator,Georgetown - Union,,StoredValue FF,($1.00),$9.75 ,,$156.00 
12,12/3/2015 18:05,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$10.75 ,,$156.00 
11,12/3/2015 17:46,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$12.45 ,,$154.00 
10,12/3/2015 17:32,Entry,Metrobus,7P,,StoredValue FF,($1.75),$12.45 ,,$154.00 
9,12/1/2015 22:19,Transfer,Metrobus,16A,,StoredValue FF,($1.25),$14.20 ,,$152.00 
8,12/1/2015 22:17,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$15.45 ,,$152.00 
7,12/1/2015 21:50,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$17.25 ,,$149.50 
6,11/24/2015 22:02,Exit,Metrorail,McPherson Square,Union Station,StoredValue FF,($1.75),$17.25 ,,$149.50 
5,11/24/2015 21:43,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$19.00 ,,$147.50 
4,11/24/2015 17:52,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$19.00 ,,$146.50 
3,11/24/2015 17:37,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$20.70 ,,$146.50 
2,11/24/2015 17:27,Entry,Metrobus,7P,,StoredValue FF,($1.75),$20.70 ,,$146.50 
1,11/23/2015 22:38,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$22.45 ,,$144.50 
0,11/23/2015 22:33,Exit,Metrorail,,Pentagon,StoredValue FF,($1.95),$23.70 ,,$142.00 
15,11/23/2015 21:55,Entry,Metrorail,Dupont Circle,,StoredValue FF,$0.00 ,$25.65 ,,$142.00 
14,11/23/2015 18:35,Exit,Metrorail,,Dupont Circle,StoredValue FF,($1.90),$25.65 ,,$140.00 
13,11/23/2015 18:18,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$27.55 ,,$140.00 
11,11/23/2015 18:04,Threshold Autoload,Metrobus,7P,,StoredValue FF,$20.00 ,$29.30 ,,$138.30 
12,11/23/2015 18:04,Entry,Metrobus,7P,,StoredValue FF,($1.75),$27.55 ,,$138.30 
10,11/21/2015 15:49,Transfer,Metrobus,16J,,StoredValue FF,($0.75),$9.30 ,,$136.20 
9,11/21/2015 15:38,Exit,Metrorail,,Pentagon,StoredValue FF,($1.45),$10.05 ,,$160.00 
8,11/21/2015 15:16,Transfer,Metrorail,,Union Station,StoredValue FF,$0.00 ,$11.50 ,,$160.00 
7,11/21/2015 14:04,Entry,DC Circulator,Georgetown - Union,,StoredValue FF,($1.00),$11.50 ,,$158.30 
6,11/19/2015 22:17,Transfer,Metrobus,16A,,StoredValue FF,($1.25),$12.50 ,,$157.80 
5,11/19/2015 22:09,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$13.75 ,,$155.80 
4,11/19/2015 21:43,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$15.55 ,,$157.80 
3,11/19/2015 18:06,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$15.55 ,,$154.80 
2,11/19/2015 17:42,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$17.25 ,,$154.80 
1,11/19/2015 17:26,Entry,Metrobus,7P,,StoredValue FF,($1.75),$17.25 ,,$152.70 
0,11/17/2015 22:14,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$19.00 ,,$152.70 
15,11/17/2015 22:05,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$20.25 ,,$151.00 
14,11/17/2015 21:45,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$22.05 ,,$151.00 
13,11/17/2015 17:54,Exit,Metrorail,,McPherson Square,StoredValue FF,($2.20),$22.05 ,,$149.00 
11,11/13/2015 17:27,Transfer,Metrobus,16A,,StoredValue FF,$0.00 ,$24.25 ,,$149.00 
10,11/13/2015 17:16,Exit,Metrorail,,Pentagon,StoredValue FF,($1.70),$24.25 ,,$147.30 
9,11/13/2015 17:01,Transfer,Metrorail,,McPherson Square,StoredValue FF,$0.00 ,$25.95 ,,$160.00 
8,11/13/2015 16:37,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$25.95 ,,$160.00 
7,11/13/2015 16:24,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$27.65 ,,$157.90 
5,11/13/2015 16:09,Threshold Autoload,Metrobus,7P,,StoredValue FF,$20.00 ,$29.40 ,,$156.90 
6,11/13/2015 16:09,Entry,Metrobus,7P,,StoredValue FF,($1.75),$27.65 ,,$156.90 
4,11/12/2015 22:16,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$9.40 ,,$155.70 
3,11/12/2015 22:11,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$10.65 ,,$154.10 
2,11/12/2015 21:47,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$12.45 ,,$154.10 
1,11/12/2015 17:35,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$12.45 ,,$153.10 
0,11/12/2015 17:22,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$14.15 ,,$129.00 
15,11/12/2015 17:05,Entry,Metrobus,7P,,StoredValue FF,($1.75),$14.15 ,,$129.00 
14,11/10/2015 22:39,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$15.90 ,,$129.00 
13,11/10/2015 22:35,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$17.15 ,,$127.30 
12,11/10/2015 22:18,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$18.95 ,,$127.30 
11,11/10/2015 18:20,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$18.95 ,,$125.60 
10,11/10/2015 17:58,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$20.65 ,,$125.60 
9,11/10/2015 17:46,Entry,Metrobus,7P,,StoredValue FF,($1.75),$20.65 ,,$120.45 
8,11/5/2015 22:12,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$22.40 ,,$118.85 
7,11/5/2015 22:03,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$23.65 ,,$117.25 
6,11/5/2015 21:44,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$25.45 ,,$116.25 
5,11/5/2015 17:39,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$25.45 ,,$116.25 
2,11/5/2015 17:06,Threshold Autoload,Metrobus,7A,,StoredValue FF,$20.00 ,$28.90 ,,$116.25 
3,11/5/2015 17:06,Entry,Metrobus,7A,,StoredValue FF,($1.75),$27.15 ,,$114.15 
1,11/3/2015 22:07,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$8.90 ,,$114.15 
0,11/3/2015 22:02,Exit,Metrorail,,Pentagon,StoredValue FF,($1.80),$10.15 ,,$112.45 
15,11/3/2015 21:47,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$11.95 ,,$112.45 
14,11/3/2015 18:04,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$11.95 ,,$110.75 
13,11/3/2015 17:42,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$13.65 ,,$109.15 
12,11/3/2015 17:28,Entry,Metrobus,7P,,StoredValue FF,($1.75),$13.65 ,,$109.15 
11,11/1/2015 1:37,Exit,Metrorail,U Street,Pentagon,StoredValue FF,($2.55),$15.40 ,,$107.45 
10,11/1/2015 1:10,Entry,Metrorail,U Street,,StoredValue FF,$0.00 ,$17.95 ,,$107.45 
9,10/29/2015 22:15,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$17.95 ,,$105.75 
8,10/29/2015 22:08,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$19.20 ,,$105.25 
7,10/29/2015 21:47,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$21.00 ,,$103.65 
6,10/29/2015 17:41,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$21.00 ,,$102.05 
5,10/29/2015 17:20,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$22.70 ,,$102.05 
4,10/29/2015 17:06,Entry,Metrobus,7A,,StoredValue FF,($1.75),$22.70 ,,$99.75 
3,10/27/2015 22:07,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$24.45 ,,$130.00 
2,10/27/2015 22:02,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$25.70 ,,$128.15 
1,10/27/2015 21:45,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$27.50 ,,$128.15 
0,10/27/2015 16:15,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$27.50 ,,$128.15 
15,10/27/2015 15:59,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$29.20 ,,$126.05 
14,10/27/2015 15:59,Threshold Autoload,Metrorail,Pentagon,,StoredValue FF,$20.00 ,$29.20 ,,$126.05 
13,10/27/2015 15:46,Entry,Metrobus,7A,,StoredValue FF,($1.75),$9.20 ,,$124.35 
12,10/26/2015 21:16,Transfer,Metrobus,16J,,StoredValue FF,($1.25),$10.95 ,,$0.00 
11,10/26/2015 21:00,Exit,Metrorail,U Street,Pentagon,StoredValue FF,($2.05),$12.20 ,,
10,10/26/2015 20:36,Entry,Metrorail,U Street,,StoredValue FF,$0.00 ,$14.25 ,,
9,10/26/2015 18:31,Exit,Metrorail,Pentagon City,U Street,StoredValue FF,($2.75),$14.25 ,,
8,10/26/2015 18:08,Entry,Metrorail,Pentagon City,,StoredValue FF,$0.00 ,$17.00 ,,
7,10/25/2015 17:12,Exit,Metrorail,Rosslyn,Pentagon City,StoredValue FF,($1.75),$17.00 ,,
6,10/25/2015 16:55,Entry,Metrorail,Rosslyn,,StoredValue FF,$0.00 ,$18.75 ,,
5,10/22/2015 21:53,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$18.75 ,,
4,10/22/2015 21:40,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$20.55 ,,
3,10/22/2015 17:44,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$20.55 ,,
2,10/22/2015 17:23,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$22.25 ,,
1,10/22/2015 17:07,Entry,Metrobus,7P,,StoredValue FF,($1.75),$22.25 ,,
0,10/20/2015 21:55,Exit,Metrorail,,Pentagon,StoredValue FF,($1.80),$24.00 ,,
15,10/20/2015 21:40,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$25.80 ,,
14,10/20/2015 17:44,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$25.80 ,,
13,10/20/2015 17:24,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$27.50 ,,
11,10/20/2015 17:07,Threshold Autoload,Metrobus,7P,,StoredValue FF,$20.00 ,$29.25 ,,
12,10/20/2015 17:07,Entry,Metrobus,7P,,StoredValue FF,($1.75),$27.50 ,,
10,10/18/2015 17:39,Transfer,Metrobus,16P,,StoredValue FF,($1.25),$9.25 ,,
9,10/18/2015 17:16,Exit,Metrorail,Eastern Market,Pentagon City,StoredValue FF,($2.00),$10.50 ,,
8,10/18/2015 16:11,Entry,Metrorail,Eastern Market,,StoredValue FF,$0.00 ,$12.50 ,,
7,10/18/2015 12:39,Exit,Metrorail,Pentagon City,Eastern Market,StoredValue FF,($2.00),$12.50 ,,
6,10/18/2015 12:14,Entry,Metrorail,Pentagon City,,StoredValue FF,$0.00 ,$14.50 ,,
5,10/18/2015 1:39,Exit,Metrorail,Columbia Heights,Pentagon,StoredValue FF,($2.80),$14.50 ,,
4,10/18/2015 1:16,Entry,Metrorail,Columbia Heights,,StoredValue FF,$0.00 ,$17.30 ,,
3,10/17/2015 9:10,Exit,Metrorail,,Foggy Bottom,StoredValue FF,($1.25),$17.30 ,,
2,10/17/2015 8:31,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$18.55 ,,
1,10/17/2015 8:05,Entry,Metrobus,16J,,StoredValue FF,($1.75),$18.55 ,,
0,10/15/2015 22:27,Exit,Metrorail,,Pentagon,StoredValue FF,($1.80),$20.30 ,,
15,10/15/2015 22:02,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$22.10 ,,
14,10/15/2015 17:58,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$22.10 ,,
13,10/15/2015 17:26,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$23.80 ,,
12,10/15/2015 17:10,Entry,Metrobus,7P,,StoredValue FF,($1.75),$23.80 ,,
11,10/13/2015 22:12,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$25.55 ,,
10,10/13/2015 22:05,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$26.80 ,,
8,10/13/2015 21:46,Threshold Autoload,Metrorail,McPherson Square,,StoredValue FF,$20.00 ,$28.60 ,,
9,10/13/2015 21:46,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$28.60 ,,
7,10/13/2015 17:43,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$8.60 ,,
6,10/13/2015 17:23,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$10.30 ,,
5,10/13/2015 17:08,Entry,Metrobus,7A,,StoredValue FF,($1.75),$10.30 ,,
4,10/11/2015 18:59,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$12.05 ,,
3,10/11/2015 18:31,Exit,Metrorail,L'Enfant Plaza,Pentagon,StoredValue FF,($1.75),$13.30 ,,
2,10/11/2015 18:17,Entry,Metrorail,L'Enfant Plaza,,StoredValue FF,$0.00 ,$15.05 ,,
1,10/11/2015 18:17,"Exit
Forced Exit",Metrorail,,L'Enfant Plaza,StoredValue FF,($1.25),$15.05 ,,
1,10/11/2015 18:16,"Exit
Entry/Exit Inverted",Metrorail,,L'Enfant Plaza,,$0.00 ,$16.30 ,,
1,10/11/2015 18:16,"Exit
Entry/Exit Inverted",Metrorail,,L'Enfant Plaza,,$0.00 ,$16.30 ,,
1,10/11/2015 18:16,"Exit
Entry/Exit Inverted",Metrorail,,L'Enfant Plaza,,$0.00 ,$16.30 ,,
1,10/11/2015 18:16,"Exit
Entry/Exit Inverted",Metrorail,,L'Enfant Plaza,,$0.00 ,$16.30 ,,
0,10/11/2015 13:29,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$16.30 ,,
15,10/11/2015 13:01,Entry,Metrobus,29N,,StoredValue FF,($1.75),$16.30 ,,
14,10/10/2015 22:23,Entry,Metrobus,28A,,StoredValue FF,($1.75),$18.05 ,,
13,10/9/2015 19:45,Transfer,Metrobus,16J,,StoredValue FF,($1.25),$19.80 ,,
12,10/9/2015 19:38,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$21.05 ,,
11,10/9/2015 19:14,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$22.85 ,,
10,10/9/2015 16:44,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$22.85 ,,
9,10/9/2015 16:22,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$24.55 ,,
8,10/9/2015 16:06,Entry,Metrobus,7P,,StoredValue FF,($1.75),$24.55 ,,
7,10/8/2015 22:30,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$26.30 ,,
6,10/8/2015 22:19,Exit,Metrorail,Farragut West,Pentagon,StoredValue FF,($1.80),$27.55 ,,
4,10/8/2015 21:55,Threshold Autoload,Metrorail,Farragut West,,StoredValue FF,$20.00 ,$29.35 ,,
5,10/8/2015 21:55,Entry,Metrorail,Farragut West,,StoredValue FF,$0.00 ,$29.35 ,,
3,10/8/2015 17:07,Exit,Metrorail,,Archives,StoredValue FF,($1.65),$9.35 ,,
2,10/8/2015 16:55,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$11.00 ,,
1,10/8/2015 16:39,Entry,Metrobus,7P,,StoredValue FF,($1.75),$11.00 ,,
0,10/6/2015 22:21,Transfer,Metrobus,16J,,StoredValue FF,($1.25),$12.75 ,,
15,10/6/2015 22:05,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$14.00 ,,
14,10/6/2015 21:43,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$15.80 ,,
13,10/6/2015 18:04,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$15.80 ,,
12,10/6/2015 17:37,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$17.50 ,,
11,10/6/2015 17:25,Entry,Metrobus,7P,,StoredValue FF,($1.75),$17.50 ,,
10,10/1/2015 22:31,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$19.25 ,,
9,10/1/2015 22:28,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$20.50 ,,
8,10/1/2015 22:07,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$22.30 ,,
7,10/1/2015 18:18,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$22.30 ,,
6,10/1/2015 17:52,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$24.00 ,,
5,10/1/2015 17:36,Entry,Metrobus,7W,,StoredValue FF,($1.75),$24.00 ,,
4,9/29/2015 22:14,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$25.75 ,,
3,9/29/2015 22:05,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$27.00 ,,
1,9/29/2015 21:48,Threshold Autoload,Metrorail,McPherson Square,,StoredValue FF,$20.00 ,$28.80 ,,
2,9/29/2015 21:48,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$28.80 ,,
0,9/29/2015 18:24,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$8.80 ,,
15,9/29/2015 18:08,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$10.50 ,,
14,9/29/2015 17:36,Entry,Metrobus,16A,,StoredValue FF,($1.75),$10.50 ,,
13,9/29/2015 7:10,Transfer,Metrobus,16J,,StoredValue FF,($1.25),$12.25 ,,
12,9/29/2015 7:07,Exit,Metrorail,National Airport,Pentagon,StoredValue FF,($2.15),$13.50 ,,
11,9/29/2015 7:00,Entry,Metrorail,National Airport,,StoredValue FF,$0.00 ,$15.65 ,,
10,9/22/2015 22:06,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$15.65 ,,
9,9/22/2015 22:03,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$16.90 ,,
8,9/22/2015 21:47,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$18.70 ,,
7,9/22/2015 12:29,Transfer,Metrobus,16A,,StoredValue FF,$0.00 ,$18.70 ,,
6,9/22/2015 12:24,Exit,Metrorail,,Pentagon,StoredValue FF,($3.10),$18.70 ,,
5,9/22/2015 11:31,Transfer,Metrorail,,Greenbelt,StoredValue FF,$0.00 ,$21.80 ,,
3,9/22/2015 11:05,Threshold Autoload,Metrobus,B32,,StoredValue FF,$20.00 ,$28.80 ,,
4,9/22/2015 11:05,Entry,Metrobus,B33,,StoredValue FF,($7.00),$21.80 ,,
2,9/16/2015 21:53,Exit,Metrorail,,Union Station,StoredValue FF,($1.45),$8.80 ,,
1,9/16/2015 21:20,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$10.25 ,,
0,9/16/2015 20:48,Entry,Metrobus,16J,,StoredValue FF,($1.75),$10.25 ,,
15,9/16/2015 18:59,Transfer,Metrobus,16A,,StoredValue FF,($1.25),$12.00 ,,
14,9/16/2015 18:57,Exit,Metrorail,,Pentagon,StoredValue FF,($2.80),$13.25 ,,
13,9/16/2015 18:30,Entry,Metrorail,Woodley Park-Zoo,,StoredValue FF,$0.00 ,$16.05 ,,
12,9/16/2015 15:23,Exit,Metrorail,Foggy Bottom,Woodley Park-Zoo,StoredValue FF,($2.15),$16.05 ,,
11,9/16/2015 15:00,Entry,Metrorail,Foggy Bottom,,StoredValue FF,$0.00 ,$18.20 ,,
10,9/16/2015 13:41,Exit,Metrorail,,Rosslyn,StoredValue FF,($1.25),$18.20 ,,
9,9/16/2015 13:21,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$19.45 ,,
8,9/16/2015 12:54,Entry,Metrobus,16A,,StoredValue FF,($1.75),$19.45 ,,
7,9/13/2015 17:49,Exit,Metrorail,Dupont Circle,National Airport,StoredValue FF,($2.30),$21.20 ,,
6,9/13/2015 16:50,Entry,Metrorail,Dupont Circle,,StoredValue FF,$0.00 ,$23.50 ,,
5,9/13/2015 13:00,Exit,Metrorail,National Airport,National Airport,StoredValue FF,($1.75),$23.50 ,,
4,9/13/2015 12:56,Entry,Metrorail,National Airport,,StoredValue FF,$0.00 ,$25.25 ,,
3,9/7/2015 23:59,Transfer,Metrobus,16E,,StoredValue FF,($1.25),$25.25 ,,
2,9/7/2015 23:54,Exit,Metrorail,Union Station,Pentagon,StoredValue FF,($1.95),$26.50 ,,
1,9/7/2015 23:12,Entry,Metrorail,Union Station,,StoredValue FF,$0.00 ,$28.45 ,,
0,8/31/2015 0:26,Transfer,Metrobus,16E,,StoredValue FF,($1.25),$28.45 ,,
15,8/31/2015 0:26,Threshold Autoload,Metrobus,16E,,StoredValue FF,$20.00 ,$29.70 ,,
14,8/31/2015 0:10,Exit,Metrorail,Union Station,Pentagon,StoredValue FF,($1.95),$9.70 ,,
13,8/30/2015 23:20,Entry,Metrorail,Union Station,,StoredValue FF,$0.00 ,$11.65 ,,
12,8/28/2015 17:39,Exit,Metrorail,,Union Station,StoredValue FF,($1.90),$11.65 ,,
11,8/28/2015 17:16,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$13.55 ,,
10,8/28/2015 17:07,Entry,Metrobus,7P,,StoredValue FF,($1.75),$13.55 ,,
9,8/22/2015 23:14,Transfer,Metrobus,16E,,StoredValue FF,($1.25),$15.30 ,,
8,8/22/2015 23:00,Exit,Metrorail,National Airport,Pentagon,StoredValue FF,($1.75),$16.55 ,,
7,8/22/2015 22:43,Entry,Metrorail,National Airport,,StoredValue FF,$0.00 ,$18.30 ,,
6,8/15/2015 14:49,Transfer,Metrobus,B31,,StoredValue FF,($5.25),$18.30 ,,
5,8/15/2015 14:24,Exit,Metrorail,,Greenbelt,StoredValue FF,($3.10),$23.55 ,,
4,8/15/2015 13:38,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$26.65 ,,
3,8/15/2015 13:12,Entry,Metrobus,16B,,StoredValue FF,($1.75),$26.65 ,,
2,8/14/2015 23:38,Transfer,Metrobus,TEST - TEST LINE,,StoredValue FF,($1.25),$28.40 ,,
1,8/14/2015 23:38,Threshold Autoload,Metrobus,TEST - TEST LINE,,StoredValue FF,$20.00 ,$29.65 ,,
0,8/14/2015 23:13,Exit,Metrorail,,Pentagon,StoredValue FF,($1.75),$9.65 ,,
15,8/14/2015 22:57,Entry,Metrorail,Archives,,StoredValue FF,$0.00 ,$11.40 ,,
14,8/14/2015 17:28,Exit,Metrorail,,Archives,StoredValue FF,($1.65),$11.40 ,,
13,8/14/2015 17:20,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$13.05 ,,
12,8/14/2015 17:10,Entry,Metrobus,7P,,StoredValue FF,($1.75),$13.05 ,,
11,8/9/2015 16:00,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$14.80 ,,
10,8/9/2015 15:49,Exit,Metrorail,New Carrollton,Pentagon,StoredValue FF,($3.60),$16.05 ,,
9,8/9/2015 14:57,Entry,Metrorail,New Carrollton,,StoredValue FF,$0.00 ,$19.65 ,,
8,8/7/2015 20:10,Entry,Metrobus,28A,,StoredValue FF,($1.75),$19.65 ,,
7,7/22/2015 23:21,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$21.40 ,,
6,7/22/2015 23:10,Exit,Metrorail,Foggy Bottom,Pentagon,StoredValue FF,($1.75),$22.65 ,,
5,7/22/2015 22:43,Entry,Metrorail,Foggy Bottom,,StoredValue FF,$0.00 ,$24.40 ,,
4,7/22/2015 17:50,Entry,Metrobus,7C,,StoredValue FF,($1.75),$24.40 ,,
3,7/21/2015 20:49,Entry,Metrobus,28A,,StoredValue FF,($1.75),$26.15 ,,
1,7/21/2015 15:44,Threshold Autoload,Metrobus,28X,,StoredValue FF,$20.00 ,$29.65 ,,
2,7/21/2015 15:44,Entry,Metrobus,28X,,StoredValue FF,($1.75),$27.90 ,,
0,7/16/2015 20:16,Transfer,Metrobus,16J,,StoredValue FF,($1.25),$9.65 ,,
15,7/16/2015 19:56,Exit,Metrorail,,Pentagon,StoredValue FF,($1.80),$10.90 ,,
14,7/16/2015 19:40,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$12.70 ,,
13,7/16/2015 18:05,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$12.70 ,,
12,7/16/2015 17:44,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$14.40 ,,
11,7/16/2015 17:29,Entry,Metrobus,7P,,StoredValue FF,($1.75),$14.40 ,,
10,7/11/2015 21:15,Transfer,Metrobus,16J,,StoredValue FF,($1.25),$16.15 ,,
9,7/11/2015 20:59,Exit,Metrorail,L'Enfant Plaza,Pentagon,StoredValue FF,($1.75),$17.40 ,,
8,7/11/2015 20:46,Entry,Metrorail,L'Enfant Plaza,,StoredValue FF,$0.00 ,$19.15 ,,
7,7/11/2015 17:09,Exit,Metrorail,,L'Enfant Plaza,StoredValue FF,($1.25),$19.15 ,,
6,7/11/2015 16:56,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$20.40 ,,
5,7/11/2015 16:48,Entry,Metrobus,7F,,StoredValue FF,($1.75),$20.40 ,,
4,6/26/2015 22:05,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$22.15 ,,
3,6/26/2015 21:56,Exit,Metrorail,Gallery Place,Pentagon,StoredValue FF,($1.75),$23.40 ,,
2,6/26/2015 21:30,Entry,Metrorail,Gallery Place,,StoredValue FF,$0.00 ,$25.15 ,,
1,6/26/2015 17:51,Exit,Metrorail,,Archives,StoredValue FF,($1.65),$25.15 ,,
0,6/26/2015 17:43,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$26.80 ,,
15,6/26/2015 17:30,Entry,Metrobus,7P,,StoredValue FF,($1.75),$26.80 ,,
13,6/25/2015 23:03,Threshold Autoload,Metrobus,16B,,StoredValue FF,$20.00 ,$29.80 ,,
14,6/25/2015 23:03,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$28.55 ,,
12,6/25/2015 22:50,Exit,Metrorail,Franconia-Springfield,Pentagon,StoredValue FF,($3.60),$9.80 ,,
11,6/25/2015 22:14,Entry,Metrorail,Franconia-Springfield,,StoredValue FF,$0.00 ,$13.40 ,,
10,6/25/2015 18:35,Transfer,FFC Bus,623,,StoredValue FF,$0.00 ,$13.40 ,,
9,6/25/2015 18:23,Exit,Metrorail,,Vienna,StoredValue FF,($4.65),$13.40 ,,
